@RELATION konu
@ATTRIBUTE text  String
@ATTRIBUTE konu   {fiyat,kargo,urun,ssh,personel,magaza,reklam,websitesi,yok}
@Data
'müşteri hizmetlerinde kafasına göre hizmet veren firmadır, ya işinizi hemen** görür ya da sizi günlerce bekletir. işinizin görülebilmesi için dişi ve güzel olmanız yeterlidir, yetkili arkadaş bilgisayarınızı hemen onarabilmek için kendisini feda edip rapidshare den rescue programları indirip hepsini teker teker dener, eğer dişi ve/veya güzel değilseniz sıra size geldiğinde suratınıza bile bakmadan teknik servise göndereceğiz der.',ssh
'ssl sertifikasi alan elemanlari domain ismini buyuk harfle yazdigindan google chrome da guvenlik uyarisi veriyor. uye kaydi sirasinda cinsiyet (cikma mi teklif edeceksin?), dogum tarihi (dogumgunu partime mi geleceksin?), cep telefonu numarasi (arayip hatrimi mi soracaksin?) gibi bilgiler istemesi inanilmaz rahatsiz edici. kayit tamamlaninca icinde sadece  sayin sedat kapanoglu  yazan bos bir mail yolluyorlar. hic begenmedim web uygulamalarini. edit: az once de  islem kapandi. herhangi bisey yapilamaz  diye sacma sapan bir hata verdi.',personel
'bir arkadaşım buradan aldığı bilgisayarı dört defa servise götürüp, dördünde de  yapıldı  bilgisine rağmen aynı sorunun devam ettiği bilgisayarı kendisine aynen iade edilince, bu firmayı mahkemeye verip parasını geri almıştı. not olarak bulunsun.',urun
'internet sitelerini yenilemelerinin bir işe yaramadığı açıkça görülen sözde teknolojik mağaza zinciri. eğer ben almak istediğim ürünü her türlü bilgimi eksiksiz girmeme rağmen sitelerinden kaynaklanan hatadan ötürü 4 defada alamıyorsam ve yarım saate yakın bununla uğraşıyorsam ne pratikliği kaldı online alışverişin?',websitesi
'müşteri hizmetleri ve sevkiyat konusunda ciddi sıkıntıları olan kurum, birşey alacaksanız iki defa düşünmenizi tavsiye ederim. bursadan faturalanmış, alınmış bostancıya gitmesi 1 gün alacak ürünü, önce topkapıya, oradan bostancıya yollayarak ve tüm bunları 2 hafta gibi abuk bir sürede yaparak beceriksizliklerini ortaya koymuşlardır. o kadar firma var, indirimine kanıp sakın buradan almayın.',ssh
'bir kere baştan söyliyeyim toz kondurmayacağım bilgisayar şeysi satan mağazalar zinciridir artık benim için. geçenlerde (bkz: 2 sene) aldığım bir mouse u (bkz: logitech g9 laser mouse/@silencender);  bozuk bu, soyuldu hep case leri. takırdıyo sağı solu. nebçim iş?  diyerekten verip 35 gün de olsa sonunda yenisiyle, sorgusuz sualsiz,  tabi beyefendi li  hay hay beyefendi li, cillop gibi değiştiren firmadır. işletmedir. candır. tabi  çok mu büyük iş len?  denebilir antipati uyandırdığı kitlede, lakin şöyle, logitech g9 mouse dediğin üj bej değil alındığında tam 141 amerikan doları idi. şimdiyse 100 küsüre satılabilio. hadi işin vatan bilgisayar açısından maliyet kısmını geçtim, ömrü billah bana bir teknik servisinde, veyahut müşteri hizmetleri şubelerinden birinde;  kullanıcı hatası böyföndü.. değüşmez.. ohom ohom.  demeyen, dedirtmeyen tek tüzel kişiliktir. bu bordo logitech yazısı, ve onun altında daha 15 dk lık ömrü itibariyle cayır cayır parlayan tertemiz g9 yazısını gördükçe aklıma gelicek, aklıma geldikçe çay içicez seninle vatan bilgisayar. gazoz da olabilir.',fiyat
'bunca yıldır çok elektronik mağazası gezdim, gördüm, alışveriş yaptım. hepsinde eleştirecek bir nokta gördüm. satış sırası hizmet, satış sonrası destek, satış elemanı, mağaza düzeni, fiyatlar falan ama bugün gittiğim vatan bilgisayar topkapı mağazasındaki durumla hayatım boyunca hiç karşılaşmadım. genelde bilgisayar parçası bakmak için ayda bir iki kez uğradığım topkapı mağazalarına bugünde bir notebook almak amacıyla gittim, gitmez olaydım. içeri girdiğim anda sanki raflarında milyonlarca liralık elektonik ürün olan bir mağazaya değilde bir bok çukuruna girmişim gibi keskin bir lağım kokusu ile karşılaştım. kokuyu aldığım anda resmen şok oldum, bir an inanamadım. sonra gelme amacımı hatırlayarak notebook reyonuna doğru yöneldim. biraz bakınayım istedim ürünlere ama o keskin bok kokusu yüzünden ürüne odaklanmak şöyle dursun içerden kaçmamak için zor tuttum kendimi. oradaki elemanlardan birine sordum durumu, aşağıda mağazanın lahımlarının taştığını bir kaç gündür bu kokunun giderek artarak mağazaya yayıldığını, yöneticilerine ilettiklerini ama onların bir şey yapmadıklarını hatta bu konuyla hiç ilgilenmediklerini, kendilerininde mağazada durmaya çok zor dayandığını söyledi. maalesef türkiye deki mağazacılık anlayışı yüzünden sadece satış odaklı, müşterinin cebindeki parayı almaktan başka bir şey düşünmeyen kişileri yükselttikleri için böyle durumlarda hiç bir şey yapmayan yöneticiler bulunuyor bu mağazaların başında sanırım. bir de unutmadan bu bok kokusundan mağazayı kurtamak için koskoca vatan bilgisayar çözüm olarak ne bulmuş tahmin bile edemezsiniz. evet bildiniz kapıları açmışlar.* bu sayede bok kokulu, sibirya soğuğu tadında bir derecede olan mağazada gelde alışveriş yap. neyse ben 5 dakika duramadan direk kaçtım* mağazadan. temiz havaya ve mikropsuz bir ortama kavuşmanın mutluluğuyla forumistanbul un yolunu tutup ordaki teknosa ve saturn ü gezdikten sonra saturn den bir notebook alıp evimin yolunu tuttum. sanırım vatan bilgisayar ın topkapı mağazasına hayatım boyunca tekrar uğramam ya da uğrasam bile bugünkü karşılaştığım ortam asla hafızamdan silinmez. bu arada işin birde şu yönü var, domuz gribi/h1n1 virüsü nedeniyle haftalardır nasıl daha steril oluruz, nasıl mikroplardan korunuruz diye haberler,reklamlar izlediğimiz, maskelerin, pürellerin yok sattığı bir dönemde türkiye de hatırı sayılır bir büyüklüğe ve itibara sahip olduğunu düşündüğüm vatan bilgisayar ın müşterilerini ve personelini böyle bir sağlıksız, riskli, pis bir ortamla karşı karşıya bırakmasını hayretle karşılıyorum. domuz gribinden korunmak için bir öneride benden olsun: vatan bilgisayar topkapı nın yanına dahi yaklaşmayın.',urun
'20 aralık tarihine kadar tüm ürünlerde kdv indirimine gitmiş teknoloji firması.fiyatlar gayet cazip görünüyor ancak sadece worldcard ve nakitte bu indirimi yapmaları cazibeyi azaltıyor. 23 aralığa kadar uzatılmış..',fiyat
'internet sitelerinden yanlışlıkla alışveriş yapılması kuvvetle muhtemel olan firma. yerli yabancı pek çok alışveriş sitesinden alışık olduğum sistem gereği bazen tüm işlemlerden geçtikten sonra bir ürüne hangi sitede ne kadar ödeyeceğimi öğrenebilmek için siparişi verir gibi yapıp son ekranda place order/ siparişi onayla gibi bir seçenek çıktığında geri dönüyorum. yine aynını yaptım ve siteden çıktım. lakin ertesi gün maillerim arasında  vatan computer sipariş bilgileri  başlıklı bir mail görünce hiç de öyle olmadığını anladım. sipariş işlemini 4 sayfaya bölüp, onayı da 3. sayfada almak(normali son sayfada almaktır) ve o sayfaya  siparişi onayla  değil de  devam  butonu koymak hangi sivri akıllının aklına gelmiş bilemiyorum. tek bildiğim şu an isteğim dışında bir full hd lcd siparişi vermiş olmam. daha da ilginci hiçbir yerde iptal butonu göremiyor oluşum. (bkz: hayat ne tuhaf vapurlar filan)',websitesi
'(bkz: vatan notebook)',urun
'gerçekten toptan fiyatına perakende satış yapan teknoloji marketi.hatta bazen bayi fiyatının altına bile ürün veriyorlar.müşteri açısından iyi bayi açısından kötü şirket.',fiyat
'insanların kredi kartına zorla taksit yaptırmak isteyen, nakit almak istedğiniz ürünü taksitliden daha pahalıya satan teknoloji bakkalı.',fiyat
'23.12 de 3,5 inc lik harici harddisk sipariş ettim bunun internet şeysinden. kampanyalı üründü. topkapı da ki mağazasından gönderilecek görünüyordu. kutulanması falan 2 gün sürdü. sonra da kargoya verilmesini bekledim falan sonunda 28.12 de elime ulaşabildi. (kampanyalı ürünlerde teslim süresi 10 gün muhabbeti vs.) şimdi bizim ürün 3,5 inc. kutusu da bundan birazcık daha büyük işte. lakin arkadaşlar ürünün olduğu kutuyu nerden baksan 4-5 katı büyüklükte başka bir kutuya, herhangi koruyucu bir madde olmadan koymuşlar, gözlerine siyah bant çekip göndermişler. hddyi test ettiğimde anormal bir ses ve titreşim farkettim. bunun üzerine bostancı mağazasına götürdüm. ben ürünü kontrol amaçlı servise almalarını beklerken adamlar kontrol edip yaklaşık 10 dk içerisinde bana birebir değişim yaptılar. garibime gitti, hoşuma da gitti açıkçası. alışmışız teknik servis hizmeti ile kan kusturan firmalara 10 dkde işimi halledip çıkınca sevindirik oldum. neyse işte yani böyle tezatlara imza atabilen bir tekno-markettir kendileri. edit 1 / 13.01.2010 : yukarıda belirttiğim hdd 2 gün sonra tekrar bozuldu. 80 gb veri kopyalamıştım zor kurtardım. aldığım ürün tam olarak şu ; seagate 3,5 inc 1,5 tb expansion ext. harddisk. hani almayı düşünenler olursa diye ifşa etmek istedim. işin vatan boyutuna gelirsek; 08.01 de aleti götürdüm ve yaklaşık 15-20 dk de tekrar birebir değişim yaptım. 3ncü olarak aynı ürünü alıyorum tekrar bozulursa yakın fiyatlı başka bir marka alacağım. tabi bu ürünü kampanyalı olarak aldığım için aynı fiyata* aynı kapasiteyi alamayacağım büyük ihtimalle... edit 2 / 03.05.2010 : yaklaşık 4 ay sonra 3ncü harddisk im de bozuldu. bu hafta içinde vatana götürüp wd marka bir harddisk isteyecem. bi daha kesseler seagate in harici harddisklerini kullanmam. bakalım vatandan ne sonuç çıkacak. edit 3 / 22.05.2010 : bir önceki editte belirttiğim üzere vatana verdim aleti. 1 hafta içerisinde servise gönderdiler ve bana ürünümü geri teslim ettiler. lakin ürünü vatana verirken iadeyi alan arkadaş eğer seagate ürünü birebir değiştirir ve yenisini gönderirse biz burdan size yaklaşık fiyatlı istediğiniz bir ürünü verebiliriz demişti. ürün geldikten sonra vatandakiler yok stoklara alamayız, yok 30 günden sonra biz sadece yetkili servise göndermeye aracı oluyoruz gibisinden yan çizme yaptı. allahtan seagate akıllanmış da bana aynı model harddisk göndermedi yerine yine 1,5 tb lik freeagent model bir hdd gönderdi. seagate sonunda expansion rezaletinin farkına vardı sanırsam. edit 4 / 08.06.2010 : ya ağzımı bozacam artık. seagate in yetkili servisi müşteri mağdur olmasın diye expansion modeli yerine freeagent yolluyor bi şekilde toparlamaya çalışıyor ama mal sakat olduktan sonra ne yazar arkadaş. ağzını yüzünü şeettimin 1,5 tb lik freeagent ı da 1 hafta sonra kafa atmaya başladı. tık tık tık. sikicem tıkını mıkını ya. beta tester gibi oldum lan her hafta bi hdd yi test edip  bu bozuk abi  diye geri gönderiyorum. 4 mü oldu 5 mi oldu kaçıncı oldu takip bile edemiyorum artık yau. neyse bu sefer vatana gidip iade isteyecem. çek mi veriyolar ne veriyolarsa versinler de gidip wd alayım. bu ne ya. alalalaa.. edit 5 / 10.07.2010 : eveet. yeni bir edit programında daha beraberiz sayın okuyucular. şimdi en son bölümde bana gönderilen freeagent da bozulunca benim vatana gidip tekrar servise göndermem işlenmişti. vatana hdd yi verirken üstüne basa basa iade kararı istediğimi, 4-5 kere cihaz değiştirdiğimi, bir daha seagate hdd istemediğimi ve iade kararı çıkarsa mağazadan başka bir cihaz alacağımı belirttim. yetinmedim seagate türkiye distribütörü datagate firması ile de irtibata geçtim ve aynı durumu onlara da aktarıp iade kararını beklemeye başladım. artık kimin başının altından çıktıysa bana yine bi freeagent geldi. neyse uzatmayacam. vatanda teknik servis yetkilisi ile bir şekilde görüşerek değişim yaptırmayı başardım. gittim aynı gün western digital 1.5 tb elements hard drive aldım. (bkz si hazır. bozulursa burdan devam edecez) artık sigeytnen migeytnen işim olmaa agidiş. alcen ford olcen lord. son. (bkz: seagate 1.5 tb expansion external drive)',kargo
'bir başka mağazada satürn oluyor orası , aynı ürünün tek çekim-nakit fiyatını, size on taksit için veren firma. bu fiyatlarla istanbul da tekel olmaya doğru gidiyorlar. bravo vatan computer. elektronik severin dostu. not: babamın mağazası değil. sadece hakkaniyet namına cevizlibağ  dan bildirdim.',fiyat
'bugün itibariyle lcd monitör almak vasıtasıyla ilk münasebetimi kurduğum firma. öncelikle belirtmeliyim ki kendi maaşımla alacağım ilk eşya olan bu monitörü seçerken össde sarfetmediğim kadar çaba sarfettim. yaklaşık bir ay boyunca karşılaştırmalar, araştırmalar bitmek bilmedi ve sonunda bir adet monitör beğenebildim. tam bu monitörü exadan alacaktım ki, exanın aslında bu monitörün bir alt modelini sattığını öğrendim. arada minicik bir p harfi oynuyordu ve bu gözler o harfi kaçırmadı. içime de kurt düşmedi değil, aradım exayı sordum nedir bu monitör diye, 3 kişiden 3 farklı cevap aldım. yarım aklım iyice uçtu, vatan bilgisayarı aradım. şansıma mıdır nedir hiç telefonda bekletilmeden müşteri temsilcisine ulaştım ve müşteri temsilcisi bana monitörün yapıldığı plastiğin bileşenlerine kadar her şeyi anlatıverdi. bilemiyorum işe yeni mi girdi yoksa patronu mu yanındaydı ama resmen beni bilgiye doyurdu. ben de elmadağ mağazalarında istediğim monitörün var olduğunu öğrenince gittim almaya. lcd monitörde bilindiği üzere ölü piksel diye hayattan bezdiren bir durum var ve bu durumun garantisi çok tartışmalı. her firma farklı bir politika uygulamakta ölü piksellere karşı. vatan bilgisayarsa 30 gün boyunca ölü pikselde değiştirme garantisi vererek bir adım önde bana kalırsa. monitörü aldım, alt kata götürdüm test etmeye. çalışanlarla birlikte bir 5 dakika kadar tamamen siyah, tamamen kırmızı gibi renkten renge bakarak gözlerimizi bulandırdık. neyse ki ölü piksel çıkmadı, çıktıysa da anlayamadık o renk bombardımanında. nitekim inanılmaz memnun kaldım, diğer şubelerini bilemesem de elmadağ şubesini akşam akşam takdir ettim. umarım bu entryi okuyup şımarmazlar. *',urun
'internetten verilen 2 ürünlük bir siparişin faturasını daha siparişin verildiği gün kesip parayı tahsil eden fakat ürünleri kargoya ancak 4 gün sonra verebilen baştan savma firma.',fiyat
'piyasadaki alternatiflerinden daha ucuz diye kesinlikle tercih edilmemeli sorunlu çıkan ürünlerle ilgili müşteri hizmetlerinin son derece yetersiz olduğu teknoloji mağazaları. unutmayın teknoloji ürünleri biraz şans işidir ve aldığınız ürünün arızalı çıkma olasılığı her zaman vardır. bir kaç lira ucuza alacağım deyip ürünlerini tercih ederseniz arızalı çıktığında sonunda başınız çok ağırır söyleyeyim.',fiyat
'arızalı çıkan ya da müşteri memnuniyetsizliği nedeniyle kanunen iade olması gereken ürünlerde dahi kanunları hiçe sayıp ürün iadesi almayan güvenilir olmayan hakka hukuka riayet göstermeyen firmadır. yapı kredi bankası nasıl bu adamlarla çalışır aklım almıyor.',urun
'daha önce bilgisayarla tanışıklığı olmayanlar için ücretsiz bilgisayar kursu düzenliyorlar. haftada ikişer gün üçer saatten yanlış hatırlamıyorsam 5-6 hafta gibi hatrı sayılır bir süre hem de. anladığım kadarıyla özellikle yaşlılar, emekliler vs. rağbet ediyor. hoş bir amme hizmeti.',yok
'bilgisayar ürünleri reyonundaki elemanlarının yardımseverliği memnun edicidir, fakat bir diğer reyonda arkasında boy boy playstation 2 kutuları dizili elemana  xbox 360 satıyor musunuz, yahut ileride getirtecek misiniz?  dendiğinde  yok, hem eski konsol ki o  diyebiliyor.',personel
'worldcard la 5 taksitli alışveriş yaptığınızda yüzde 12 indirim yapan fakat aynı indirimi nakit ödeme yapmak istediğnizde yapmayan bir teknoloji market. worldcarda özel indirim yapıyorlar anlayacağınız. worldcardla tek çekim yapsanız bile yüzde 12 indirim yapmıyorlar. illa taksitle alacaksınız. saçmalık bence.',fiyat
'kdv indirimi adı altında türlü türlü çakallıklar yapan kurum/kuruluş her ne haltsa işte o. şöyle anlatayım http://209.85.229.132/…=clnk&gl=tr&client=firefox-a en çok satanlar kısmındaki  samsung 500gb 16mb sata2 7200rpm harddisk e bakın. bu 10 marttaki önbellek görüntüsü sayfanın. ve ürünün 6 taksitli worldcard fiyatı kdv dahil 99 tl. aynı sayfanın şuan ki görüntüsü http://www.vatanbilgisayar.com/…ils.aspx?i_id=38885 altı taksitli fiyatı şuanki kdv bizden kampanyası dahilindeki fiyatsa 95 tl. allah aşkına hangi matematik işlemiyle 99 liranın yüzde 18 i düşürülünce 95 lira kalır ? kısaca indirimi 10 taksitli fiyat üzerinden yapıyorlar, 6 taksitli fiyat üzerinden değil. siz %18 indirim var sanıyorsunuz ama meselin bununla uzaktan yakından ilgisi yok. indirim var bunu kabul edebilirim, ancak bu tip ürünlerde hiçbir yararı olmuyor. normalde 18 lira inmesi gereken bu ürün sadece 4 lira iniyor. tabiki laptop gibi şeylerde miktar büyük olduğu için indirim gözle görülür oluyor, ancak işin içinden iş çeviriyorlar. yazıktır yahu. edit büdüt : fiyatları tl olarak vermemin amacı daha anlaşılır olmasıydı. yoksa o zamanki döviz kuruyla şimdikinin aynı olmadığını biliyorum.(o zamanki 6 taksitli fiyat : 54$ , kdv indirimi yapılmış şimdiki fiyat 62$, yani haklıyım.)',fiyat
'tamir görmüş anakartı 300 liradan 100 liraya, ölü pikselli 23 inç monitörü 350 liradan 260 liraya indirerek satan firma. alınır mı acaba? anakart ta msi markasının en gelişmiş serilerinden... edit: anakartların alayı garantisiz. demek ki, alınmaz.',fiyat
'kdv indirimi konusunda her zaman oynamalar (hileler mi demek lazım?) yapıyor. kdv indirilmeden önceki ana para, kdv indirildikten sonraki ana paradan her zaman daha düşüktür. bunu sitede almak istedigi ürünü 2 günde 1 takip eden herkesin bilmesi lazım. defalarca şahit oldum buna. kendiniz gözlemleyebilirsiniz. bir kaç ürünün dolar bazlı fiyatını not edin(kdv siz ana fiyat kısmına). kdv indirimi olduğu gün tekrar gidip (kdv siz ana fiyat kısmına )bakın. her şeye rağmen izmirdeki mağazasından çok alışveriş yapmışlığım vardır. ürün çeşitliliği konusunda izmirde en iyilerinden.',fiyat
'logitech vx revolutions model mouse ta akıl almaz bir indirip yapıp kanıma giren, fakat ilk aldığım mouse un zoom+ özelliğinin çalışmadığını farketmemle geri götürdüğümde  bu kadar sattık hiç problem çıkmadı.  diyip iade alan şirkettir. satan da alan da bu güne kadar yüzlerce sattığını ve hiç geri gelmediğini ifade etti. yine de zerre kadar güvenmediğim için para iadesi aldım. sonra zaman geçince dayanamadım gittim bir tane daha aldım çünkü fiyat gerçekten cazipti. bir de ne göreyim cd yi yüklememe rağmen zoom+ çalışmıyor. hiç iade olmamış ben 2 tane aldım 2si de bozuk çıktı. şimdi ben götüreceğim, bana milyonda bir rastlanan bir durumla karşılaştıklarını söyleyecekler. bunlar ne söylerse söylesinler ben bu satılan(indirimli logitech vx revolutions) mouseların hepsinin aynı problemi olduğunu düşünüyorum. yarın laptopumla gidip iade edicem yine aynısından alıcam hemen tekrar orada yenisini deneyeceğim yine bozuk çıkacak yine iade edeceğim bunlar utanana sıkılana kadar bunu yapacağım. tüm stoğu bitirene kadar da denemezsem. edit: cosysop a test etmesi için verdim ve çalıştırdı. bu yüzden yukarıda belirttiklerimi yapamayacağım. sadece vatanı tebrik etmek kalıyor geriye, sorgusuz para iadesi ve ucuz fiyat için.',fiyat
'vatan bilgisayar ı severim. laf olsun diye demiyorum, hakikaten severim. (ya da  severdim  mi demeliydim) sırf oradan alışveriş yapabilmek için, fi tarihinde finansbank a kart başvurusu yapmıştım. finansbank la anlaşmaları bitti, world e geçtiler. ben de world e geçtim. üniversiteden beri ne zaman bir şey gerekse, önce vatan a bakarım. bu hiçbir zaman şaşmadı. aldığım hiçbir üründen de pişman olmadım, bir teknik aksaklık yaşamadım. ta ki son alışverime kadar! internetten beğendim bir pc yi , izmir şubesine almaya gittim.  bunu hediye olarak alacağım. adrese teslimat yapılmasını istiyorum.  dediğimde, adrese teslimat için bunu internetten yapmam gerektiğini söylediler. memur zihniyetini yakından tanıdığımdan zorluk çıkarmadım,  ok!  dedim. yukarı kata çıktım, vatan ın cafesinde kendi netbook umla alımı gerçekleştirdim. sonrasında da telefonda  pazartesi günü gönderilen kişinin önemli bir sunumu olduğunu ve yetiştirilmesi gerektiğini söyledim.  ve pazartesi ye kadar uzun bir süre olduğunu ve yetiştireceklerini söylediler. alımı gerçekleştirdiğim tarih 29 mart 2010. an itibariyle de laptop firma tarafından ulaştırılmış değil. bir atasözü var  zamanında ödenmeyen 10 para, 5 para etmez  diye, hakikaten öyle. günlerdir kendileri ile uğraşmaktayım. ilk aradığımda laptop ın yanında aldığım, 4 gb flash ı ve mouse u temin etmeye çalıştıklarını söylediler. insanları sık boğaz etmek istemediğimden bir daha da aramadım zaten. dün dayanamayıp tekrar aradıktan sonra, gönderi no dan baktığımda kargonun hareket ettiğini gördüm ama nasıl bir kargoymuş ki hala gelemedi. kendilerine olan sinirim geçer mi bilmiyorum ama bundan sonra vatan bilgisayar dan bir şey alınmaması gerektiğini öğrenmiş bulunuyorum. önceden aynı fiyatta satılan tüm ürünleri vatan dan alıyordum. artık sadece indirimli ürünleri varsa alırım. onun harici  gidip vatan a bakayım  gibi bir cümleyi bir daha kuracağımı sanmıyorum.',fiyat
'16 nisan da kutlukent te samsun mağazasını açacak olan firma.',magaza
'hırkız reklamcılar ile çalışıyorlar. bugünlerde tvde dönen reklamlarının sonunu hatırlayın (bulamadım bir türlü. tvde yakalarsam kaydedip ekleyeceğim) şimdi bir de intel in şu reklamının sonunu izleyin (25. saniyeden sonrası) : http://www.youtube.com/watch?v=m61xxdvlp5o sizce hangisi  orijinal  hangisi ç-alıntı? vatan ta-ta- ta-tann mış! peh.',reklam
'vanguard tripodlari gercekten iyi bir fiyata satiyor bu abiler, kendilerini takdir ettik.',fiyat
'eğer bir ide bağlantılı hard disk almak istiyorsanız tek yol burasıymış. hatta istanbul un öbür ucundaki şubesiymiş. biz bunu böyle gördük.',urun
'bu %20 indirim olayını anlayamadım , ürünün zaten indirimli fiyatı piyasa fiyatı ile aynı, arada taş çatlası 50-100 tl oynuyor, yani bu indirim neyin nesi ürünü kendi fiyatı çekmek pazarlama stratejisiyse yani işi bilmeyenler nasılsa indirime kanar diye düşüyorlar herhalde lcd tv, laptop gibi cihazlar kendi fiyatında- en azından ben öyle gördüm,',fiyat
'kataloglarına en güzide ps3 oyunlarının yanyana olduğu bir resim koyup  1 alana 1 bedava  diye reklam yapan, ancak mekana gittiğimizde bunun sadece 20-30 liralık sikindirik oyunlarla sınırlı olduğunu söyleyen bir firma.',fiyat
'16 nisan da kutlukent te samsun mağazasını açmış firmadır. ve fakat kutlukent gibi  anasının nikâhı  şeklinde tabir edilecek bir yere bu mağazayı açarak bile çiftlik caddesi ndeki teknosa nın sinek avlamasına neden olabilmiştir.',magaza
'süper indirim yaptıklarında piyasa fiyatına yaklaşırlar. ben bunlardan baya bi alışveriş yaptım. hemen hemen hepsini de süper mega, 100de 20 vs dediklerinde yaptım. sonuçta piyasa fiyatından aldım hepsini. ha neden böyle yapıyorum manyak mıyım derseniz, internet sitelerinin dizaynını ve kullanım pratikliğini seviyorum. hepsi bu. mesela mediamarkt, bestbuy falan da güzel ama siteleri berbat. resmen göstermiyorum sana hiç bir şey buraya gel ve gör diyorlar. ben de onlara nanik yapıyorum. adam gibi internet sitesi yapın müşteriyi oralara zorla getirtmeyin, ciğerimi yiyin.',fiyat
'logitech driving force gt nin fiyatını hiç beklenmedik bir şekilde 150 lira nın altına çektiler. logitech kendi sitesinde bu direksiyonu 149.99 dolar a satıyor.',fiyat
'ürünlerinde hızlı gönderim yazmasına rağmen müşteri hizmetlerini aradığınızda  kampanyalı ürünlerimizde o süre 10 gündür, isterseniz iptal edebiliriz  dedikten sonra  iptal edin o zaman  cevabını alan, ve aynı gece 22:37* de ürünü kargoya veren şirket. anladığım kadarıyla iki şeyi bi kutuya koyup kargolamakta sıkıntı yaşıyorlar.',kargo
'internet sitesinden 26 nisan gecesi günün fırsatı kampanyası dahilinde western digital external hdd aldım. satın aldıktan sonra sözlükte yazanları okuduktan sonra biraz endişelendim, ürünün çok gecikeceğini tahmin ediyordum. maksimum on gün içinde teslim edilir vs. yazıyor çünkü. fakat sözlükte yazılanlara rağmen 29 nisan öğleninde kargo elime ulaştı. kötü şeyleri yazdığımız kadar iyi şeyleri de yazmamız gerekebilir amacıyla yazmış bulunayım istedim.',kargo
'kız arkadaşıma aldığım bilgisayarda ölü piksel hatası sebebiyle aldığımın ertesi günü geri götürmeme rağmen bana binbir zorluk çıkartıp, iade kabul etmeyen şirket.',urun
'Avrupa nın pek çok şehrinde bulunan ve her türlü teknolojik aletin satıldığı mağaza. metro ag ye aitmiş ve yakında da türkiye de gelip istanbul ve ankara da mağaza açacakmış.',urun
'avrupanin en buyuk elektronik magazalari zinciri.ayni sektorde faaliyet gosteren saturn ile birlikte metro ag´ye aittir.',yok
'kısa süre sonra eskişehirde şube açacak avrupa menşeili elektronik magaza zinciri.',magaza
'istanbul da açacağı şubesinin inşaatını başlatmış olan şirkettir. yeri ise haramidere carrefour arkasındadır.',magaza
'avrupada bircok ülkede satis maazasi var (bkz: avusturya) (bkz: almanya). reklamida ich bin doch nicht blöd mann(türkce: Ben aptal degilim) Fiyatlar iyi diyebiliriz ipodlari hala cok pahali satiyolar o baska konu.',fiyat
'sabahın köründe ucuz bilgisayar, ucuz cep telefonu almalıyım diye yola düşen beleşçi türk halkını hesaba katmadığı için trafiği kitleyen, 15 dakikalık yolun 1.5 saatte alınmasının müsebbibi, otoyol kenarına park gibi enteresan durumlara sebep vermiş alman firması. yakında bizde hans ve helga kadar ucuza alışveriş yapacakmışız, yapmayıverelim kalsın. ucuz malınız sizin olsun, rahat trafiğimiz bize kalsın.',fiyat
'29 ytl gibi bir fiyatla divx player satacak olan bilişim marketidir. görünen o ki teknosa ve bimekse ciddi rakip geldi.',fiyat
'25 eylül itibariyle istanbul daki ilk mağazasını ikea nın hemen yanında açan ve dün gazetelere verdiği ilanlardaki fiyatlar sonrasında bugünkü açılışında izdiham yaşananan market devi. *',fiyat
'bugün önünde oluşan sıra sebebiyle hocamın derse geç kalmasına sebep olmuş firma. tem i kilitlemişler resmen.',magaza
'Sabah sabah şile yolunda çekilen eziyetin başsorumlusu olan firma.işe 10:30 da geldim üstelik dur kalktan nefret ederim artık gına geldi ama iyi laflar saydırdım firmanızada sizede. Ucuzlugu hafta sonu yapsanıza lan şerefsizler.',fiyat
'http://www.mediamarkt.com.tr/',websitesi
' görmemişin oğlu olmuş, çekmiş çükünü kopartmış.  aynı hesap, işte. sonra eleştirince halka laf söyledi, halk düşmanı oluyorsun. lan öldün mü bir divx player için ? kredi kartının taksidini yatıracam diye ay sonunda afrika daki antiloplar gibi oraya buraya koşturmayı biliyorsun. milletin işini gücünü aksatmaya ne hakkın var senin ? daha net porno izleyecen diye ne bu telasın ? saygısızlık işte. düpedüz saygısızlık, görmemişlik.',fiyat
'indirimli ürünlerden almak için milletin birbirini boğazladığı mekan. ama nedense içeri girenlere 15 dakika sonra indirimli ürünler bitti denmiş. 600 ytl ye plazma aldığını sananlar kasada 1100 ytl lik fiyatlarla karşılaşmışlar. tamam amerikanlaştık, bizim de izdiham gücümüz var ama hala türkiye deyiz. ulan akıllı olsanıza biraz. ucuza elektronik satanlar, doğubank ta köşe tutanlar bırakır mı size o malzemeleri? herifler kimbilir kaç zamandan beri bunun planını yapıyorlar, kimbilir kaç tane adamları kuyrukta bekliyor? senin tüm saflığınla beklediğin 29 ytl lşk divx player sana yar edilir mi sandın? adamlar oradan 29 a toparladı malı. yarın doğubank ta o malı alırsın 70-80 ytl ye. ha bu arada mekanda çalışan tayfa da iyi mal stoklamış. hısım akraba ayağına toplamışlar ucuz malları. kısacası gece gidip orada sabahlayanlar oynadıkları okey ile kaldılar. bari parasına oynamış olsalar da üç - beş bir şey kazansalar. yoksa bu rezilliğin başka bir kurtarır tarafı yok.',fiyat
