@RELATION degerlendirme
@ATTRIBUTE text  String
@ATTRIBUTE degerlendirme   {neg,pos,nm}
@Data
'başka ait dsmart modül üye başka sat iğrenç firma şikayet var a da yaz bura da yaz ki bura alışveriş filan yapma baba doğumgünüydü yeni de tv al uydu alıcı bizimki hala tüp tv kullanıyolardı yeni tv alın da de dsmart alay da maç izle rahat zaten bent digiturk var ney internetten şu sipariş et https://www.bimeks.com.tr/…dul-spor--hd-paket-.aspx geri şikayetvar a yaz şikayet kopya yaz 03/09/2014 tarihi şirket www.bimeks.com.tr web adres 2737111 sipariş numara ile d-smart modül spor + hd paket satı al ve 04/09/2014 tarihi el ulaş fakat aktivasyon için dsmart müşteri hizmet ara  modül ve kart numara başka bir şahıs ait ol ve ağustos ayın aktive dil şahıs başka bir kişi dsmart üye sat  dsmart taraf söylen durum ile ilgi bimeks müşteri hizmet bilgi ver ve şikayet kayıt oluş incele taraf bilgi ver bildir bir başka ait bir üye sat nasıl bir ticaret ahlak tabii en kısa zaman çöz hak her yer ara edit: 2 gün gerekli incele yapiyolarmis terbiye ulan modul ve kart numarasinin fotografini bile cekip gönder iki dakika hallet olay için bekle ',neg
'eski mağaza ürün alın ertesi gün kısa mesaj bedel %10 muadil hediye çeki gel artık mail gel 31 ağustos alışveriş hediye çeki henüz görünür yok ',neg
'sömürü firma eylül ver ol sipariş web site herhangi bir sebep belir iptal ettiler.üstüne üst ürün fiyat kadar kart bloke et ve ilk taksidi de çekmişler.ekim tarihi ise hiç alma ol kendi taraf iade et bir ürün iki taksidini öde görünüyorum.müşteri hizmet ara söylen ise bu konu banka görüşme gerektiği.müşteri hizmet en azı yardım ol diye bekle olay tamamen üst at gibi görünma çalış da ayrıca komik ve zavallıca.kendilerinden bir daha alışveriş yapma ',neg
'aldat kandır firma 31 temmuz 2014 tarihi kayınpederimle next kanky uydu alıcı al eleman  üzeri otomatik güncel logos yok kayınpederim bu güncel iş anlama cihaz bu güncel iş kendi kendi hallet lazım  diye söyle  sorun yok abi şimdi cihaz hepsi kendi otomatik güncel  de ben öyle değil diye bil de ol laf ağız tık kayınpeder bak problem ol gelir de tamam amca gel hallet de biz de ürün al takvim 18 eylül göster mevcut uydu güncel neden kanal hepsi uç ol tabii ki uydu kendi güncelma söylen üzere kayınpeder bimeks mağaza konya kipa) git bu iş kendi ilgilenma elektronik git düzelt tavsiye et kayınpeder dükkan siktiredilmiş. ben de müşteri hizmet ara böyle bir müşteri hizmet yok zaten telefon konu alaksız bir ton otomatik kayıt dinle sanki merak gibi sonra telefon aç hanım hiç birisi olay ilgi olumlu adım atma ney de teknik destek sağlama next yetki servis bul şimdi 1) o dükkan konya kipa da 4 tane eleman ben gör bilma kaç kişi var toplam çalış 2) iki nokta dükkan sinek avla doğru düzgün müşteri zaten yok eski darty i yine sinek avla . yani yoğun vesair bahane yok çalış %85-90 boş dur 3) kendi uydu el yordam yeni frekans bilgi gir (türksat tanıt üzeri yeni liste al şekil toplam 5 dk da güncel ben teknik servis tamir falan değil vatandaş olma rağmen bu iş zahmet çekme hallet 4) bimeks eski müşteri geri gönderma sorun çöz için hakikaten uğraş bir kurum firma bu satış temsil mi ders ne ders mağaza orta boş gez eleman bu güncel iş üstlenma gerçek ayıp zaman alan uğraş bir bok değil ama bu iş kayınpederimin hallet bir iş de değil 5) hadi diye gerçek öyle ama bu eleman ürün sat hallet zaten kendi güncel falan de dur ki ürün biz o söyle binaen al bu davran itibar kurum bir firma ve firma çalış tavır değil bu at hırsız yap sağ sol ufak tefek elektronik dükkan ol uydu mu sat küçük esnaf bile böyle davranma bu kel bimeksten alışveriş yap cümle alem şirket ben bul iş bu dilekçe iç yangısı ve sinir üzeri yaz ol oku taraf ibret alın ',neg
'bim in sat bisiklet marka ',nm
'artık şube gez için bile uğrama karar ver firma çalış çok bilgi ve de ilgi insan gel gelecek pişman et ',neg
'konfor garanti paket kapsam bozul bilgisayar tamir über bir bilgisayar ben ver şirket aferin ',pos
'güven verma müşteri temsil çalış ütü alın ev götürma dene iste ütü priz tak sonra ütü kırık ol farkedilir, değiş yeni incele sonra priz tak ısınma müşteri temsil ütü çalış için yan ışık bas nasıl teknolojik bir ütü ki yan ışık üstün basınç çalış bekle ',neg
'yeni logo olma firma eski buna nazaran daha iyi yenile logo kerning hata var toplu bir dur sergilema herhangi bir rounded font kullan gelişigüzel yaz hiç özen gösterma havas var hele o  e  harf boğ ön gel logo yap tabi memleket ne bekle http://www.bimeks.com.tr/img/common/logo_y.png ',neg
'bir ürün aynı şehir tekel ol çalış yurtiçi kargo 4 iş günü teslim ede firma müşteri hizmet kibar fakat kesin yardım olma aynı şey tekrarla dur ilk alışveriş ve muhtemelen son alışveriş ol ',neg
'bim in gıda satma ürün koli raf dur al kasa götür öde bu kadar daha fazla değil ',nm
'çalış için kendi özel belir ve sipariş emir not düş teslimat saat için sonra bugün yani teslimat günü sabah kör ara biz yol de ürün iptal ilet de taksit para iade yap de için kendi müşteri memnuniyet bihaber ol da ekle isteri çalış insan işte izin almadan-ki saat de belirma için en az yarım gün bu beyaz eşya alma edit: çöz fakat ben ben facebook hesap falan engelle onun ayrı uğraş şu an ',neg
'hırsız dolandır sakın bu firma ürün satı alma kendi al iphone 5 in kutu çık şarj adaptör sahte çıktı şarj alet sahte ol fark etma yetma gibi bi de uzun süre kullan en nihayet patla allahtan sigortala at da yangın çıkma apple center a götür adaptör sahte ol ve bilmeksin bu hep yap söyle hemen müşteri hizmet ara kendi öfke kontrol etma çalış durum anlat hemen top ithalat firma at böyle de pişkin yüzsüz şikayet oluş ama pek sonuç çık sanma minare çala kılıf hazırla sonuç kendi tüket mahkeme dava açacak ',neg
'(bkz: 25 aralık 2014 bimeks rezalet ',neg
'bura al ürün sağlam şans fiyat bazen piyasa çok altın ol ama ol ki ürün hasar gel ve kargo teslim sıra farkedemediniz işte o zaman iş zor ürün ertesi gün iade edip yeni bekle de adam iade süreç asla ama asla takip et değil çağrı merkez ara siz ara diyip gün arama ara 2 hafta geçer saat bu harca siz bu sefer ara ürün el kalma için siz gönderma para ücret iade yap derle ne zaman yap 2 3 gün e hadi hayır be süreç izle olay bari biz de içim rahat eder 1.5 hafta stok ol ürün stok bitim kadar yollama abiler. güya mağaza çıkış için emir ver iade sonra 5 gün ancak o mağaza neden çıkma neden çıkma niye çıkma acaba mağaza stoğunu dayı oğul mı ayır bile ede hak getir özet şu sen vakit çal sen zor durum sok sonra da para iade eder özür bile dilma bura birşey alacak ol iade ihtimali düşün mağaza al ben ',neg
'12 gün önce 497 tl ol general mobil discovery 2 mini yi sevdiceğim gezerkene üşengeç yap   amaaan yarın al   diye sinema sok aldırma ertesi gün mağaza git aynı telefon 597 tl ol gör ben hayat en büyük hayalkırıklığını yaşa firma abi bi gün daha tutma mı o fiyat ayrıca neomarindeki eleman öldür için içeri bomba at düşün mağaza her girişim ercüment çözere bağla ',neg
'her yer 950 lira satı ekran kart 1450 lira sat takdir kazan firma ucuz mal alacak kadar zengin değil sonuç aferin hep böyle devam edin kazık ol da bu kadar mı ol edit: fiyat halen aynı kalan ürün üzeri  son fırsat  diye bir etiket ekle halen kazık yema ye için son fırsat ',neg
'sms ile vatandaş taciz et web site calışır hale getir fena olma sanki son bir yıl içinde ofis yakın diye git alışveriş yap zaman zaman ne zaman site gir ürün arama kalk site ya yavaş açı ya minibüs gibi bir yavaş bir hızlı gel git yaşa yad şu ant ol gibi hiç açma sorun caliştığına denk gelma şimdi dek ',neg
'bipara ad bir nane icad edip sonra bir güzel bu üzeri yatma çalış çakal esnaf zihniyet elektronik (bkz: http://s24.postimg.org/oufu77io5/bimeksbipara.jpg) ',neg
'sikayetvar.com site bak hediye ol ver taahhüt et bipara ların üzeri yat alışkan hal getir elektronik perakende ',neg
'ne teknosayı sev ne de bura ama son ol al plan traş makine kendi +30 tl fark ol teknosaya yönel diğer ne kadar geçir kim bil ',neg
'dün bir mağaza tablet reyon 2 çalış ve bir de arkadaş ol tahmin et bir kişi ile internet kafedeymişçesine oyun oyna gör düşün birkaç müşteri var ve bağır kahkaha oyun oyna satış görev olm çok eğlen la ve böyle 15 dakika filan sür amca biri tablet alma niyet et oyun bitir amca ilgilen  he hödö özel de var o saye biraz önce biz oyna yap gibi yap  gibi gerçek hayat örnek bile ver la evin altın formatçıda bile öyle taşak ortam görma ',neg
'teknoloji perakende baş ithalat - ihracat amaç açı şirket isim ol import ve exporttan türe impex kelime düşün ve zamanla bimpex-bimpeks-bimeks şekli son hal al ',nm
'bimeks ten alışveriş yap bir mail yolla seçenek var  şikayet et teşekkür et öneri var  gibi mail al bilgisayar zaten şikayet mail at için aç ön hazır gelin doğru  şikayet et  seçenek seç gerekli bilgi ver ve hiç abartma kibar şikayet dil getir hak / hak konu çok önem değil asıl önem ol yaklaşık 20 dakika sonra telefon çalma ve şikayet et çalış bizzat ben ara  ben şikayet ol  diye ara ben ulan bimeks!!! (bkz: arabozan ',neg
'ürün teslimat adres fatura fatura adres ol gir adres ayrı ayrı gönder ama iki aynı adres gönderma firma çok mu zor arkadaş bir tick box koy ora  fatura teslimat adres git  diye o kadar ',neg
'belki marka akım koru priz neden her yerin yarı fiyat sat firma aban hepsi sil süpür ama sonra uyan fiyat bir ant iki katı çıkar gerçi gel ürün kutu yırtık toz içinde bekle ol belli ol ürün ama priz sonuç çalış ',pos
'bidakka ad bir hizmet ver gibi yap mağaza 2 saat teslimat ol için ver sipariş (12 tl ekstra öde 4 saat son teslimat sor taraf 1-2 saat gel şekli bir açıklama ile taraf hala ulaş çalış çağrı merkezi anlatma gerek yok durum aşikar bura türkiye. hizmet sınır yok bu kadar geç gelecek bil ben çıkar al 2 saat 12 tl taksi öde acil ol için bura sipariş ver çalış alet bozul lazım ihtiyaç gerekli acil sipariş verma önce iki kere müşteri hizmet ara vallahi mı iki saat gönder diye sor saftirik şahıs bura yıl gerizekalısı ödül sun ',neg
'cep telefon haziran ayı gibi değiş plan idare et bir ürün bak de android 5 ve ucuz de akıl motorola moto g gel google dan fiyat bak bimeks te 449 tl ol gör detay incele ürün sadece hakkari dek mağaza ve teşhir ol var ve internetten satı alınma teknosa dan bildik için bir ürün diğer bir mağaza getir acaba bu da var mı diye çağrı merkezi sor olma söyle ben de rakip mücadele etma bir sebep de bu de yani illa hakkari ye git alma gerek ney uzatma geçen gün tekrar bak telefon fiyat önce 750 lira şimdi de 849 lira çıktı bulun mağaza sayı da 3 ol söz öz bimeks sat hafiza kart ve usb cihaz okuma ve yazma hız yaz ne kadar övgü al ürün tedarik ve fiyatla da o kadar yergi al haber ol ',neg
'amele bir şirket alışveriş yap tavsiye etma bipara olay da yalan verma için el gel yap teslimat kısım da sıkıntı sinir tepe çıkar ',neg
'internet site al ürün kargo ver için banka onay bekleyen(bankaların iş güç yok siz onay ver hatta beklema , bu onay ben bekle kredi kart ekstrem mail veya faks ol gönder bekle , ben para rezil ede firma tabiki bu rezil dayanma sipariş iptal et ',neg
'bozuk oyuncak sat bu bozuk değiştirmek/iade et iste deyi de  değişma maalesef firma gönder 20 iş günü içinde hata bulun onlar tamir edip gönder haber vericezz  diye bu hareket de bi kağıt minik minik yaz madde dayan firma bildik ayıp ürün nere tüket hak bir de ora al oyuncak maazallah biri hediye etma gaflet düş ben gibi para rezil ol ',neg
'ne zaman internetten bir ürün fiyat bak de karşı hep en pahalı fiyat çıkar teknoloji market ',neg
'bu fiyat ay 2 tane falan telefon sat düşün şirket ol ',neg
'olumsuz yorum rağmen berbat ağır web site kaşı bir ses kart sipariş ver stok mağaza kısım ankara mağaza ve mersin de normal ürün var istanbul esenyurt torium da teşhir ürün var ol görün istanbulda yaşa biri ol bak piyango teşhir ürün mü çık hep birlikte gör edit: müşteri hizmet mail at teşhir ürün gönderma diye dönüş ol kapalı kutu ürün gönder de ne de umar koli bantı ile teşhir ürün tekrar paketle gönderma ayrıca pazar akşam ver ol ürün 2 gün faturala kargo ver diye görün bugün ara otomatik sesli sistem en fazla iki gün bu durum devam et üç gün devam eder biz ara dene , bazen kargo şirket taraf kaynaklan bir durum ol de umar de gibi 2 gün gel git bir kargo yok edit2: kargo elim ulaş kutu bay bir bekle sağı solu çok ufak yırtık ve ezik dolu ney ki kart sağlam teşhir ürün emin çünkü içinde bir değil iki tane aynı kurul cd si çıktı bir kurul cd sini kağıt biraz yırtık var kutu kapak bantla sonra da yapış tür ol teşhir ürün gönderma de ama hiç dikkat alma kutu parala teşhir ürün olma ihtimali yüksek bir ürün gönder artık siz yaklaşım düşün kargo yeterince hızlı ancak sunum ve güven verma açı müşteri memnun et bilma bu tarz şey güven azal umur değil galiba tabi ben de bugün bu ürün hal görün seagate 2tb central ethernet disk media markttan sipariş et çünkü daha önce sipariş çizik kutu ile gel ürün iyi depola belli akıl hiçbir soru bırakma bimeks bu konu dikkat etma süreç küçül ',neg
'az once radyo sevgi gunune dair bir reklamina denk geldigim firma reklam siz hala kalp yastik mi aliyorsunuz, bosverin kalp yastigi gelin su zamazingiyu ali de ticari ol ben pek dogru gelma acikcasi. kendi branslarinda sattiklari bir ur icin biz daha ucuz yad daha avantajli de anlarim. ama kendi satmadigi bir ur bosverin almayin onu de garip ',neg
'bostan mağaza git seagate 2tb central ethernet disk sor çünkü internette ürün bulun mağaza yaz cevap ol el yok de hadi belki o gün sat da sistem hemen yansıma falan diye düşün ertesi günü sayfa aç yine aynı işte bu kadar ciddiyet internet sayfa alışveriş yapma çok zor çünkü bilgi güncel değil ve gönder ürün hasar yad yıpran ol en iyi önem bir fırsat olma süreç uzak dur ya da mağaza var git gör al ',neg
'allahtan internet filan kullan adam ha yoksa iyi kazık at iphone un kablo bozul için yeni kablo alma gerek apple ın site bak 50 gayme. palladium a git al için önce bimekse sor de  70 lira beyefendi  de  1 metre kalma mı 2 metre mi var sadece  de de  yok efendi bu 1 metre zaten  de çıktı insan gibi iki adım yan apple ın yetki mağazına git ve 50 lira al ulan böyle 20 20 zengin ol işte ',neg
'web site biraz göz gez 2011 yıl çık ol geforce gtx 560 seri bir ekran kart 935 tlye sat sokak geçen eski ver 3 düzine mandal al karşılık san tarihi eser ol sat koleksiyon için ',neg
'bilog de kendi hak yaz reklam kampanya haber vb yazı oluş bir site var 2 gün önce burda anlatı bir kampanya yorum kısım kampanya ilgi bir soru yaz soru yayımlama gibi cevap da verma beğenma herhalde de ve bi umut soru sor yaz mail adres bak belki cevap mail at diye ama yok fazla iyimser o da olma müşteri hizmet de telefon hiç açma kampanya ile ilgi soru cevap kal mağaza gitma de vakit yok iyi mi ben yine hepsiburada dan falan alay ',neg
'bugün kadar göz iyi bir imaj ol fakat yap son birkaç alışveriş tüm itibar sıfırla firma kdv kampanya al beyaz eşya 2 gün sonra teslim etma garanti ver rağmen 1 hafta teslim etma müşteri hizmet yanlış bilgi ver ara de geri dönma mağaza telefon açma ucuz al diye sevin burun getir bu kafa bu ver satış sonra hizmet garanti falan da allaha emanet ol ciddi indir kampanya mağaza al çık ürün için belki risk gir ama sonra teslim et ürün baş bela ciddi aç ',neg
'cumartesi sipariş et ps4&gta 5 için çağrı merkezi numara ara bak ne durum diye tam 5 dakika reklam dinle çağrı merkez abla konuşma ise 45 saniye klasik çağrı merkezi gibi müzik verma reklam dinle yahu kafa şiş dinlema diye telefon hoparlör al uzak tut kafa çağrı merkez abla bağla hatta amk! ',neg
'ucuz diye al mal mutlaka kazık yed yer ',neg
'üç çeyiz kampanya reklam görün  evkur  taraf satı alın düşün firma ',nm
'fiyat bilema ancak çalış çok ilgi ve kibar ol firma ',pos
'(bkz: adet değil çeyiz ',nm
'bipara de olay hediye çekin birleş kullan mümkün olma iddia ede firma bipara kullan şart ne de başka bir yer bu birleş kullanma ilişkin bir ibare yer alma du bak mail at doğru dürüst cevap ver mi edit: hala cevab verma bastır ol böyle bir durum oluş bariz boşluk var ',neg
'teknomarketler ara en çok internet sipariş ver perakende ara ürün en düşük fiyat genel bura bul fakat bir kulak istanbul içinde bir adres 4 gün hala kargo verma göz değer düş edit: mal hala elim ulaşma iş iyi yılan hikaye dön ',neg
'daha önce de yaz ama belki ben gibi görma bilma için tekrar yaz 3d secure ile alışveriş yapma için hatta müşteri hizmet arkadaş söyle göre ilk alışveriş ol 3d secure ile yap dahi kredi kart ekstre veya şahıs ait fatura gönderma sipariş onaylama ama para da kredi kart çek firma üstelik bu sipariş birkaç gün sonra email ile bildir gün bekle galiba 7 günlük iade süre çalma çalış bilema internetten belki yüzlerce kez alışveriş yap ilk defa böyle bir saçmalık karşılaş firma rezil et için yap bu saçma uygula emek geçen bravo de ',neg
'bu zaman no-frost buzdolabini sadece damadin aile alabilecegini, aksi takdir maymun doneceginizi iddia ede gelmis gecmis en sacma reklam bir seyler satma calisan apaci marka ',neg
'yurtiçi kargo ile çalış acilen bırak gerek firma balçova - kuşadası (80 km) kargo 3 gün gelma git ben al amk. ',neg
'ilk laptop umu bura aldır o zamanla çok sev şu zamanla ise sat ürün teknik servis ile irtibat kopar bi bok haber olma müşteri hizmet  beyefendi ürün iade kullan istek ile yetki servis(kvk ol eğer ücret iade talep rapor yazar eğer o zaman ücret iade yap  diye insan dolu firma not satı al ürün xperia z3, 10 gün içinde ekran sarar yaklaşık 20 gün bekle ben artık bimeksi yakın tavsiye etma uzak duru de bir not daha satı al cep telefon bimeksten olma bir kvk garanti olma dikkat edin mesela sony euroasia garanti cep telefonlarıda asıl kvk garanti ve adam sürün (bkz: #53545414) edit: uzun uğraş sonuç ücret iade kabul et ',neg
'carrefour içerenköy şube özel değerlen ol çalış gayet ilgi ve yardımsever hata satış sonra ürün de sıkıntı yaşa değiş olma iade kabul et aynı ilgi müşteri temsil (0850 2220 50 22) kişi de mevcut sadece telefon yol mesele çözüm vakit al tavsiye sorun yaşa hem telefon üzeri kayıt oluş hem de görev dert bizzat bütün açık anlat yılla iş çok başarı umar yarın bir gün bu entry ye negatif bir editleme yapma ',pos
'bozuk mal sat teknoloji market 19.07.2015 tarihi büyük bir heves gopro hero aksiyon kamera al ev gel büyük bir heyecan aç telefon yükle gopro app i ile kusur çalış gerek bir türlü bağlantı kurma kendi telefon yetma etraf telefon ile de dene ama nafile kurulama bağlantı 1 gün sonra 20 temmuz yakın bimekse git ürün kullan bilma teknik servis eleman 1 saat uğraş bağlantı kurma ürün ora alma için ve kredi kart al için ürün al şube git söyle git şube yenibosna koçtaş altın bimeks mağaza teknik servis eleman için 10 dk bekle ürün ala 24 saat olma ve ürün bozuk ol söyle beklenti ürün hemen değiş yön ney ürün al teknik servis abi. incele kullanamsını bilma yardım ol ürün kullan bilma teknik servis abi ürün bozuk ol olma anlama çalış 1 saat de o dene yapma bu teknik servis gönder lazım de şarteller at tabi ala 1 gün olma ürün bozuk çık ben teknik servis göndercez de ney sinirlen bağır kal gönder teknik servis müşteri hizmet ver bilgi 1 hafta sonra teknik servis ulaş alet bugün itibari 23 gün ol hala cevap yok bu da böyle bi teknoloji market işte bili ve bir tavsiye ürün al ant teknik servis eleman huzur açın bozuk mu değil mi orda belli ol her şey ',neg
'23.08.2015 tarihi kendi tepe nautilus mağaza bir adet televizyon al 280 lira hediye çeki de al en büyük etken iş ödem aşama gelin kadar el yok dema tam ödem yap  ee şey el yok webden sipariş ede mağaza üzeri 3 gün el ol  de ona da eyvallah de öde mağaza kredi kart ile yap ertesi gün bekle onay vs falan diye bir sonra gün kargo ver verma gör için site girdi ne göre ödem yapma gözük çağrı merkezi defa arama rağmen dönüş yap diye kalıp cümle başka bir kelime konuşma robot yardım olma mağaza ara doğru düzgün bir cevap yok bak ne ol para vedik ama alma de bu ad ne ol siz çok iyi bil son ol tepe nautilus şube uzak duru tamam bütün elektronik market çalış ukala eğitim seviye düşük ve apaçi ama bura en üst seviye 3 yıl önce aynı şube müdür ile kaba konuş için tartış şimdi alt alma la havil çekma kavga etma işte bile değil uzak duru ',neg
'bimeks ten tv al gün lanet ol televizyon ctesi al pztesi servis eleman birlikte gel televizyon cam kırık çıktı rapor tut servis eleman geri git ben da aldğınız bimeks mağaza aynı ürün var yeni değiş de hemen fatura üzeri numara ara yok hiçkimse cvp verma defa dene sanki resmi tatil sonra çağrı merkezi ara saat bimeks reklam dinle sonra bi müşteri temsil lutfedip cvp ver el asıl rapor geç gerek bi şi yapma ben de atla araba tv yi al mağaza git dert anlat neden mağdur et sor merkez mail at kasa görev bekle söyle 5-10 dakika ben tüm avm yi gez yaklaşık 1,5 saat sonra mağaza dön halen cvp gelma bi de başka bir görev aynı sorun anlat bu iş fıtrat var dema getir sinirle tavan yol döner de ara servis ara bir hafta içinde ürün ben ulaş söyle twitter dan yaz mai at şikayet dil getir ses yok bugün tekrar merkezi ara para iade iste söyle biz siz arıycaz diye oyalama devam et ben şimdi kaç gün oyala servis ya da bimeksten ara sor yok üstelik servis de o ürün tamir et ben kakalıyacağına dair şüphe var kendi samsung servis ol özetle ayakkabı ayakkabı alın aracı kurum değil bimeks gibi teknoloji market sadece satış yap kadar yüz gül unutma en ufak bi satış sonra sorun yan kimse yok o biz çıktı de garanti falan yalan bimeksten uzak duru çevre uyarı ben ders kendi anlatma her türlü reklam yapma devam edicem, word of mouth  her zaman daha etki bi silah ',neg
'2005 ten beri maltepe carrefour park şube alışveriş yap ve şu ana kadar herhangi bir yamuk görma teknoloji şirket en son pazartesi günü notebook al bura sat arkadaş bugün pazartesi alma gerek salı günü fiyat zam gelecek söyle salı günü git gerçek de zam gel ',pos
'satı al macbook air in touchpad i bozuk ol için geri götür yaklaşık 10 dakika içinde yeni vere firma halbuki çemkirma kavga etma hazırla satı alın bir ürün ilk altı ay donanım müdahale yapıma yasal ol değiş zorunlu ol ve sadece servis yazılım (format..vs) müdahale yap söylen bu neden donanım problem mağaza tespit edebi değiş başka yer baş gelir ısrar talep edin yeni alın ürün servis gönder hafta bekle koy zira ',pos
'48 saat bekle olacagim, eger musteri hizmet olayi cozmezse, eksi twitter, sikayetvar. tuketici mahkeme normal mahkeme her yer uzerlerine gidecegim. umarim olayi cozerler de bu yorumla olumlu doner. 15 tl lik kulaklik yuzunden yaptiklarina bak magazanin, calisanlarin. ',neg
'şimdi siz bu site şube vs gidi büyük kurum firma falan san ben de öyle san ve geçen internet site telefon alma gaflet bulun ney ürün sepet attık.siparişi ver 3d onay ve onay diye 2 seçenek çıktı kredi kart baba ek kart ol için mesaj falan uğraşma üşen ve 3d onay ol sipariş ver sipariş kart onay bekle şekli sipariş kısım düş bugün kadar aynı kart internet üzeri bir çok sipariş ver için herhangi bir şüphe duyma kapat yat bu ara sipariş ver sonra sipariş ekran hiç kullan dost ve tasarım da bir o kadar kötü sipariş 2 gün boyun kart onay bekle şekli kal ben de iş yoğun kredi kart hiç kontrol etma gerek duyma sonuç para al ol kart onay bekle gibi bir durum olma değil mi ? 2. gün öğle sonra posta kutu bir mail düş . mail aynen şöyle sayın x, sipariş ilgi ol işlem devam et için banka görüş bilgi güncel rica eder http://www.bimeks.com.tr/ haydaaa adam yılla kullan bir çok alışveriş yap kart için banka ile görüş bilgi güncel de sinirlen ama iş yoğun yine ilgilenma akşam girdi sipariş iptal et de ertesi gün öğlen doğru ne ol ben sipariş diye girdi site sipariş durum ol iptal et kart iade yap yaz nasıl ya adam para çek mi diye şok ol banka kontrol et gerçektende sipariş ver ant para kart al ancak 2 gün boyun ne hikmet para el ol rağmen banka onay alma ben iptal et deyi de sipariş iptal edip para iade et yani ben sipariş 1 ay sonra iade et para 1 ay çatır çatır kullan bu süreç zarf da ara sor kimse yok tabi bu ara banka ilet geç ve kart ile ilgi herhangi bir eksik olma da öğren bimeksin bu kadar amatör bir firma ol bilma sağolsunlar kendi çok güzel tanıt 3 gün boyun para kullan için de yasal hak kullan kendi hatırla iste ek bu mesaj yazar bir yan da bimeksin site şikayet form doldur o kadar yaz en son gönder deyi ben log out et ve yaz boşa git sadece bu olay bile nasıl bir amatör karşı karşı ol göster ',neg
'internet site satı al güney kore üretim ve pls panel ol site açık belirti ürün yerin romanya üretim ve pls panel olma bir tv gönder firma hadi ürün kod aynı bir karışık ol de ama cihaz kullan üzeri çizik var kumanda içinde 10 kuruş dandik pil var ve stand by konum rahat et tiz bir ses çıkar ve muhtemelen bu sebep müşteri taraf iade et bir ürün yılla internetten en dandik site de dahil ol üzere 5tl-5000tl aralık sayısız alışveriş yap böyle saçma bir olay ilk defa baş gel ürün bugün kargo iade et umar değişim süreç sıkıntı yaşama edit gelecek ',neg
'müşteri şikayet gör kadar 10 yıl önce sıkıntı yaşa bir daha kapı dahi geçma iyi et anla firma yaşa sıkıntı ya gelir o zaman ekran kart msi geforce fx 5200 satı al ev gelin kapalı kutu içinde nuh devri kalma fark marka kullan ve de bozuk(bu ayrıntı önem bir ati chipsetli kart çık 20dk sonra soluk tekrar mağaza al ama kapalı kutu içinde fark bir kart çıkma iddia et iade alım reddet kısa üst kapalı bir dil dolandır suçla tansiyon yüksel ve para geri alan kadar en az 2 saat zaman geç ama güç ol da al bu bariz bir tezgah ol orta çünkü biz daha kart bozuk ol bahsetmeden(iyi ki ev dene belki  neden hemen al gelma de dene  diye sor diye o ana kadar tak dene belir istema  belli işte eski bozuk kart koy için fark çıktı diye iade etma çalış bura  şekli bozuk ol bildik bilgi ağız kaçır bir kere ve o an itibaren zor an onlar yaşa ',neg
'bugün kadar daha rezil bir servis hizmet daha görma teknolojik market yazı başlama önce şiddet uyar kapı dahi geçma bu firma electroworld ad teknolojik market zincir satı al ve müşteri satış sonra hizmet eksik karşıla taahhüt et ben de elim electroworld garanti ile bu kapı 2.5 ay sürünma hikaye böyle başla 05.08.2015 tarihi samsung s3 marka telefon servis bırak servis süre 21 iş günü geç hal yasal hak ol muadil ürün değişim veya ürün bedel karşılık hediye çeki düzenle talep karşılama 10.09.2015 tarihi telefon ana kart değiş tamir ol ve teslim al söyle ben de lanet ol de ve git al telefon tüket hakem heyet neden başvurma bu ara çünkü dosya sıra gel 6 ay yıl kadar sürü ve bu süreç ürün servis teslim alma gerek ney telefon al 2 saat kullanma bile ve tekrar aynı arıza yap ertesi gün yine servis için götür yine aynı süreç işle ve yap bir şey olma söyle şikayet defa müşteri hizmet belir rağmen tamam efendi anla efendi acil diye not düş efendi dönüş yap efendi vb robotik yanıtla dış hiçbir çözüm ulaşma bu sefer 14 iş günü doldur yine yasal hak ol yedek ürün talep bulun bu sefer de telefon zaten 3 gün içeri tamir et ol elim ulaş bu yüzde yedek ürün talep onaylama belir ve tabii ki de 3 gün günü ol sen 1 hafta yani bir yasal işlem süre daha son gel ben tekrar ürün değişim talep et değerlen al haber ver söyle bir milyon kez en son 2 gün önce ben ara ürün değişim onayla telefon bir üst model ol s3 neon adım kargo belir ben de dün acıbadem nautilus bimeks mağaza git yeni telefon teslim alma görev el eski bir telefon kutu ile çıkagel ve içeri el başka bir telefon çıkar de bu telefon kullan siz ben dalga mı geç ben ilgilen mağaza yetki arkadaş da şok ol 2.5 ay git gel hepsi aşina ol zaten artık birbir sokak gör selam o derece ve ben tabii o telefon teslim alma tekrar müşteri hizmet ara tamam efendi hak efendi en kısa süre dönüş yap efendi ler eş sinir kriz geçir bir posta daha ve hala bekle ben zaten o telefon geç artık kendi yeni bir telefon al ama bu olay da bırakma yarın tüket hakem heyet şikayet dilekçe ver gerek tüket mahkeme de git ve en önem ön gel herkes bu olay anlat şiddet bimeks dene kara delik uzak dur tavsiye et bu yaş ben sinir hasta yap bimeks. allah bela ver bimeks. batar inşallah ',neg
